"chr1"	"gene1"	"pos1"	"strand1"	"chr2"	"gene2"	"pos2"	"strand2"	"fusion_type"	"num"	"score"	"gap"	"don_dist"	"acc_dist"	"mapq"	"badfj3"	"jct_ind"	"genome"	"genome.anomaly"	"genome.pval"	"reg"	"reg.anomaly"	"reg.pval"	"junc"	"junc.anom"	"junc.pval"	"FarJunc"	"FarJunc.anom"	"FarJunc.pval"	"unaligned"	"NoPartner"	"NetPValue"	"X_1NoIndels.Indels"	"X_2NoIndels.Indels"	"BadFJ.1"	"BadFJv2.1"	"ExonL"	"ExonR"	"numReads.x"	"logsum_2.x"	"productPhat_lower.x"	"productPhat.x"	"junction_cdf.x"	"junction_cdf_lower.x"	"numReads.y"	"logsum_2.y"	"productPhat_lower.y"	"productPhat.y"	"junction_cdf.y"	"junction_cdf_lower.y"	"junction_cdf_windel_diff"	"emp_p"
"chr7"	"PHF14"	11148244	"+"	"chr7"	"PHF14"	11150153	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	5	0.003300330033	"0"	868	-824	0	"True"	49700	3	0	"0.803932394489"	2	0	"0.806747046443"	0	0	"-"	1	0	"0.44884604488"	0	1	0.927513587343	"4:0"	"4:0"	0	0	14	14	"2"	"-0.28179071544092"	"0.754431558888338"	"0.942967150943077"	"0.242"	"0.179"	2	-0.28179071544092	0.754431558888338	0.942967150943077	0.228	0.171	0	0.0271940667490729
"chr10"	"CDH23"	73405739	"+"	"chr10"	"CDH23"	73439158	"+"	"no_fusion-donor_local-intrachrom_plus_reg"	3	0.00442477876106	"-11"	2	14	0	"False"	340	5	0	"0.0222653850644"	10	0	"0.268307694387"	0	0	"-"	0	0	"-"	0	3	0.0541448057082	"8:0"	"10:0"	0	0	260	260	"12"	"-9.59451617767975"	"6.81011690915235e-05"	"0.0451190734708556"	"0.382"	"0.118"	12	-9.59451617767975	6.81011690915235e-05	0.0451190734708556	0.396	0.103	0	0.0173053152039555
"chr11"	"SERPING1"	57365765	"+"	"chr11"	"SERPING1"	57373489	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	4	0	"-34"	-29	6	0	"False"	2315	13	0	"0.55418782814"	0	0	"-"	0	0	"-"	0	0	"-"	1	0	0.55418782814	"6:0"	"8:0"	0	0	121	121	"9"	"-7.24440203655406"	"0.000714161067340848"	"0.0290136206411404"	"0.276"	"0.145"	9	-7.24440203655406	0.000714161067340848	0.0290136206411404	0.277	0.129	0	0.0234857849196539
"chrX"	"USP11"	47098573	"+"	"chrX"	"USP11"	47100021	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	7	0	"-35"	-5	35	0	"False"	57547	11	0	"0.621563355795"	20	0	"0.981451149185"	0	0	"-"	0	0	"-"	0	2	0.956529573973	"18:0"	"15:0"	0	0	250	250	"20"	"-20.1836670194836"	"1.7153185682731e-09"	"2.40697369363987e-05"	"0.233201683641068"	"0.0115442061339465"	20	-20.1836670194836	1.7153185682731e-09	2.40697369363987e-05	0.233201683641068	0.0115442061339465	0	0.0271940667490729
"chr16"	"ZFPM1"	88601350	"+"	"chr16"	"ZC3H18"	88638022	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	12	0.00147058823529	"-34"	-224	1233	0	"False"	13677	29	0	"0.758201804393"	0	0	"-"	0	0	"-"	0	5	"-"	3	0	0.758201804393	"19:0"	"23:0"	0	0	58	117	"19"	"-13.3376453434229"	"1.61262810991511e-06"	"0.000413552474933645"	"0.372046494670114"	"0.106309182758858"	19	-13.3376453434229	1.61262810991511e-06	0.000413552474933645	0.372046494670114	0.106309182758858	0	0.0173053152039555
"chr17"	"PRKCA"	64302245	"+"	"chr17"	"PRKCA"	64306192	"+"	"no_fusion-donor_local-intrachrom_plus_reg"	6	0	"0"	0	3978	0	"True"	15922	11	0	"0.0323745470193"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.0323745470193	"6:0"	"5:0"	0	0	7	7	"5"	"-2.89632193266901"	"0.0552259718032591"	"0.446055696280598"	"0.303"	"0.179"	5	-2.89632193266901	0.0552259718032591	0.446055696280598	0.294	0.177	0	0.0210135970333745
"chr1"	"DNAH14"	225460744	"+"	"chr1"	"DNAH14"	225463616	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	2	0	"0"	-83	2959	0	"True"	27106	2	0	"0.0040642691277"	0	0	"-"	0	0	"-"	0	0	"-"	0	2	0.0040642691277	"2:0"	"2:0"	0	0	7	7	"2"	"-0.0666161157920083"	"0.935554276923273"	"0.997432855210674"	"0.531"	"0.234"	2	-0.0666161157920083	0.935554276923273	0.997432855210674	0.555	0.222	0	0.00741656365883807
"chr14"	"AP4S1"	31542184	"+"	"chr14"	"AP4S1"	31562134	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	5	0.00265957446809	"-22"	5	21	0	"False"	10627	4	2	"0.556574217341"	4	0	"0.567083051673"	0	0	"-"	0	0	"-"	0	0	0.645874875131	"7:0"	"1:0"	0	0	10	10	"3"	"-0.0899428652735696"	"0.913983403971211"	"0.997522285653565"	"0.696"	"0.329"	3	-0.0899428652735696	0.913983403971211	0.997522285653565	0.719	0.298	0	0.00370828182941904
"chr22"	"TIMP3"	33219509	"+"	"chr22"	"TIMP3"	33245438	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	18	0.00147058823529	"-35"	21401	-1	0	"False"	32224	21	0	"0.458853160215"	10	0	"0.452388556123"	0	0	"-"	0	2	"-"	0	1	0.471918816446	"20:0"	"17:0"	0	0	79	79	"21"	"-12.3230246543901"	"4.44813943197737e-06"	"0.00181280473683862"	"0.507707283182951"	"0.176493215959156"	21	-12.3230246543901	4.44813943197737e-06	0.00181280473683862	0.507707283182951	0.176493215959156	0	0.0123609394313968
"chr2"	"UGP2"	64091395	"+"	"chr2"	"UGP2"	64109631	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	2	0	"-33"	6325	31	0	"False"	32921	7	0	"0.236722129455"	2	0	"0.0127919393258"	0	0	"-"	0	0	"-"	1	0	0.0771752305098	"6:0"	"4:0"	0	0	124	124	"7"	"-3.99231321321644"	"0.0184569697940469"	"0.345464342672198"	"0.38"	"0.206"	7	-3.99231321321644	0.0184569697940469	0.345464342672198	0.347	0.184	0	0.0185414091470952
"chr2"	"ZNF638"	71559006	"+"	"chr2"	"ZNF638"	71561659	"+"	"no_fusion-donor_local-intrachrom_plus_reg"	4	0	"-28"	1	2774	0	"True"	33013	6	0	"0.99972884321"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.99972884321	"3:0"	"3:0"	0	0	120	120	"2"	"-0.263612810064431"	"0.768270948855253"	"0.957857368470951"	"0.256"	"0.182"	2	-0.263612810064431	0.768270948855253	0.957857368470951	0.249	0.173	0	0.0247218788627936
"chr11"	"MLL"	118344569	"+"	"chr11"	"MLL"	118344576	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	2	0	"-10"	-461	2199	0	"False"	3981	24	0	"0.421076995172"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.421076995172	"10:0"	"14:0"	0	0	60	60	"22"	"-2.64770239160839"	"0.0708137285073685"	"0.638306855343732"	"0.833953856232691"	"0.735984948733429"	22	-2.64770239160839	0.0708137285073685	0.638306855343732	0.833953856232691	0.735984948733429	0	0
"chr2"	"UBE2E3"	181927762	"+"	"chr2"	"UBE2E3"	181940230	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	3	0	"-14"	-388	12712	0	"False"	34701	9	0	"0.16227988033"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.16227988033	"4:0"	"5:0"	0	0	0	0	"6"	"-1.63626029123106"	"0.194706829294878"	"0.870008670349951"	"0.509"	"0.275"	6	-1.63626029123106	0.194706829294878	0.870008670349951	0.481	0.268	0	0.0123609394313968
"chr6"	"TMEM63B"	44094772	"+"	"chr6"	"TMEM63B"	44102295	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	10	0.00220264317181	"-35"	-643	-3	0	"False"	48000	47	0	"0.916762792167"	7	0	"0.186517038023"	0	0	"-"	0	0	"-"	0	1	0.871972576869	"25:0"	"30:0"	0	0	175	175	"44"	"-26.9516904870642"	"1.9725569175582e-12"	"6.35033713821883e-06"	"0.565640526227567"	"0.0710761270167946"	44	-26.9516904870642	1.9725569175582e-12	6.35033713821883e-06	0.565640526227567	0.0710761270167946	0	0.00494437577255871
"chr6"	"STXBP5"	147673032	"+"	"chr6"	"STXBP5"	147674459	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	6	0.0026525198939	"0"	-1477	0	0	"True"	46579	11	0	"0.686790007923"	2	0	"0.0355654153352"	0	0	"-"	0	0	"-"	0	0	0.55376447559	"6:0"	"7:0"	0	0	36	36	"4"	"-0.694688209501323"	"0.499230078917013"	"0.779760848064557"	"0.343"	"0.256"	4	-0.694688209501323	0.499230078917013	0.779760848064557	0.318	0.252	0	0.0197775030902349
"chr3"	"PLCH1"	155271871	"-"	"chr3"	"PLCH1"	155267728	"-"	"no_fusion-niether_local-intrachrom_minus_rev"	6	0.00226244343891	"-29"	6	-19	0	"False"	38617	4	0	"2.0832500125e-07"	2	0	"0.191502218689"	0	0	"-"	0	3	"-"	1	0	6.31911719506e-07	"7:0"	"7:0"	0	0	23	23	"3"	"-2.15475530002442"	"0.115931555591104"	"0.699139350503257"	"0.25"	"0.128"	3	-2.15475530002442	0.115931555591104	0.699139350503257	0.226	0.127	0	0.0284301606922126
"chr21"	"YBEY"	47711348	"+"	"chr21"	"YBEY"	47714651	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	3	0	"-29"	-28	-1425	0	"False"	31180	6	0	"0.217615528274"	2	0	"0.191502218689"	0	0	"-"	0	0	"-"	0	0	0.236722129455	"5:0"	"3:0"	0	0	43	43	"4"	"-2.16212096023995"	"0.115080780251816"	"0.561233091223938"	"0.281"	"0.171"	4	-2.16212096023995	0.115080780251816	0.561233091223938	0.266	0.17	0	0.0234857849196539
"chr17"	"ARHGAP23"	36614088	"+"	"chr17"	"ARHGAP23"	36619090	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	2	0	"-30"	-419	3	0	"False"	17711	4	0	"0.167396430686"	1	0	"0.196190073073"	0	0	"-"	0	0	"-"	0	0	0.21704502503	"2:0"	"3:0"	0	0	76	76	"3"	"-0.0862668591883891"	"0.917349395438129"	"0.996844579069073"	"0.672"	"0.33"	3	-0.0862668591883891	0.917349395438129	0.996844579069073	0.692	0.299	0	0.00370828182941904
